scenario,query_number,query_work_id,query_subjects,relevance_mode,total_relevant,precision@10,recall@10,mrr@10,ndcg@10,relevant_found@10
keyword_only,1688,ba4b3477568a7e0686e8f05f331e1f74b39dbe78,65M60 65-02 65M70 65N30 65N35 65Y15 35L15 35L65 35J05 35Q60 35Q30 76M10 78M10 76D05 76N15,top-level,508,1.0,0.01968503937007874,1.0,1.0,10
keyword_only,1689,10.1142/s0217732397000029,78A25,top-level,59,0.0,0.0,0.0,0.0,0
keyword_only,1690,10.1073/pnas.76.8.3602,35Q99 35P25 35B40 78A45 90C20,top-level,353,1.0,0.028328611898016998,1.0,1.0,10
keyword_only,1691,10.1126/science.1125907,78A35,top-level,59,0.6,0.1016949152542373,1.0,0.6530488081313035,6
keyword_only,1692,e72b17d1915729e6bfddbc0ba65a43afabac96e4,01A75 78-03,top-level,271,0.3,0.01107011070110701,1.0,0.3570764765963919,3
keyword_only,1693,10.1007/s13373-014-0055-5,90B06 78A05 35Q60 49J20,top-level,381,1.0,0.026246719160104987,1.0,1.0,10
keyword_only,1694,393524bbe470552dc25ac152f2ec2a2373edc372,01A75 78-03,top-level,271,0.3,0.01107011070110701,1.0,0.35970991185182927,3
keyword_only,1695,95364dba4ca2fc0f8f4addc7d56900af4c197f44,35-02 35J25 35C20 74R99 35A20 35B40 35Jxx 78A25,top-level,328,1.0,0.03048780487804878,1.0,1.0,10
keyword_only,1696,e1a4a1775689630ded9ba81c45221de0f4ad567e,78-01 78A45 78A40 65Z05 35Q60 74A40 76B15 76M35 00A06,top-level,617,0.2,0.0032414910858995136,1.0,0.3589542101716347,2
keyword_only,1697,10.1093/acprof:oso/9780198528692.001.0001,76-02 76M10 86-08 78M10,top-level,234,0.1,0.004273504273504274,1.0,0.22009176629808017,1
keyword_only,1698,b46e73e635ae5b44c6ef07835271e24094f47a1b,78-01 78A25 78A40,top-level,59,0.1,0.01694915254237288,0.5,0.13886244387355454,1
keyword_only,1699,d718523fa364b09a7ffb7a1bd247d233e7150f91,47-02 47A60 47A70 47B25 47A10 47B40 78A30 46L05 81Q10 46L10,top-level,343,0.4,0.011661807580174927,1.0,0.5100691314582919,4
keyword_only,1700,efb3293186875708f55416d05db5b6101e38b7a7,35Q51 35Q55 35-02 94A05 78-02 78A60,top-level,341,0.3,0.008797653958944282,0.5,0.3222722491219547,3
keyword_only,1701,af149cd398f586b481ac47abe210fa3deb520c3a,78-02 78M20 78A25 65M06 35Q60,top-level,417,0.3,0.007194244604316547,0.5,0.3125291152215463,3
keyword_only,1702,10.1016/0021-9991(88)90159-3,65Z05 65N12 35Q99 78A25 78A40 35S15 35L05,top-level,417,0.9,0.02158273381294964,1.0,0.8611375561264454,9
keyword_only,1703,a1cf1a19611933a36a00cc2f9d80a67a37d4d6e9,53C56 32L81 53C80 78A25,top-level,230,0.6,0.02608695652173913,1.0,0.6339753813071974,6
keyword_only,1704,10.1137/1.9780898719680,35-02 37-02 65-02 35Q55 35Q41 35Q51 35J10 35P10 37K10 37K15 65N25 65N35 37K40 78A60 82C10,top-level,547,0.8,0.014625228519195612,1.0,0.8572048559638628,8
keyword_only,1705,40d67da60bc9b99bc45b8067b0d9aee92b9ac400,78-02 78A45 01A75 35-02 35J05 35Q60 78-03,top-level,482,0.0,0.0,0.0,0.0,0
keyword_only,1706,3292f142e511822084cb31264f78b977e1d0088b,58-01 58Z05 53-01 58A15 81T13 76A02 74Bxx 78A02 80A05 53Z05,top-level,549,0.2,0.0036429872495446266,0.25,0.1681522864689108,2
